epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5077,1.63044,2.25708,1.17248,0.00093,0.07407,0.0005,0.00016,2.59109,3.82728,2.14484,0.00014,0.00014,0.08614
2,66.8656,1.56439,1.5227,1.17413,0.17222,0.09568,0.07577,0.03031,1.84326,3.86142,1.45333,0.00028043,0.00028043,0.0712804
3,97.6641,1.51887,1.35367,1.17064,0.10556,0.17593,0.11437,0.04887,1.5913,3.83476,1.26475,0.00041096,0.00041096,0.056411
4,128.428,1.47307,1.25517,1.11904,0.397,0.32485,0.25828,0.13766,1.39881,3.39112,1.11891,0.00053159,0.00053159,0.0415316
5,160.497,1.42804,1.14513,1.13206,0.17637,0.41512,0.32199,0.20111,1.38939,2.8491,1.14384,0.00064232,0.00064232,0.0266423
6,193.985,1.45393,1.18354,1.14284,0.23254,0.61188,0.45712,0.2423,1.4265,2.31842,1.17193,0.00074315,0.00074315,0.0117432
7,228.617,1.42612,1.15484,1.12433,0.89703,0.27128,0.4846,0.28271,1.30453,1.88905,1.10408,0.000802,0.000802,0.000802
8,261.944,1.40875,1.13233,1.10106,0.85348,0.34025,0.53273,0.33432,1.36223,1.59208,1.10607,0.000769,0.000769,0.000769
9,294.459,1.33643,1.05405,1.09933,0.7996,0.41435,0.56691,0.33793,1.31375,1.3778,1.11022,0.000736,0.000736,0.000736
10,327.304,1.30721,1.03921,1.0684,0.74152,0.42284,0.55301,0.31469,1.34464,1.27716,1.11535,0.000703,0.000703,0.000703
11,360.258,1.36212,1.06924,1.09145,0.66312,0.5,0.51267,0.30846,1.22521,1.04218,1.07435,0.00067,0.00067,0.00067
12,393.543,1.30583,1.02051,1.06458,0.59492,0.51543,0.53032,0.31403,1.17592,0.92608,1.06172,0.000637,0.000637,0.000637
13,427.586,1.26473,0.98785,1.057,0.5564,0.6363,0.52783,0.3323,1.19988,0.95063,1.06384,0.000604,0.000604,0.000604
14,461.194,1.28982,1.00724,1.04718,0.56202,0.61833,0.54647,0.32523,1.1444,0.91438,1.07333,0.000571,0.000571,0.000571
15,495.289,1.23135,0.95765,1.06082,0.56458,0.57671,0.52749,0.30974,1.18153,0.88338,1.06887,0.000538,0.000538,0.000538
16,529.871,1.22759,0.96599,1.03991,0.65889,0.55093,0.60348,0.37757,1.1454,0.86991,1.05119,0.000505,0.000505,0.000505
17,564.468,1.20595,0.95137,1.04099,0.53653,0.62436,0.59593,0.38772,1.15159,0.81872,1.07045,0.000472,0.000472,0.000472
18,597.31,1.23382,0.90425,1.03981,0.7336,0.58754,0.61371,0.3504,1.17927,0.82439,1.06548,0.000439,0.000439,0.000439
19,630.514,1.17558,0.89796,1.02219,0.72481,0.59275,0.64356,0.40061,1.13936,0.84147,1.03957,0.000406,0.000406,0.000406
20,664.419,1.21333,0.91252,1.02952,0.81053,0.55168,0.65271,0.39984,1.14156,0.83672,1.04208,0.000373,0.000373,0.000373
21,700.306,1.21834,1.12227,1.04696,0.68934,0.64622,0.67065,0.38621,1.17663,0.85957,1.05657,0.00034,0.00034,0.00034
22,733.489,1.19527,0.98151,1.02454,0.74551,0.55324,0.62357,0.39204,1.19975,0.9468,1.06372,0.000307,0.000307,0.000307
23,766.631,1.18205,0.97027,1.02767,0.73966,0.58951,0.63856,0.38164,1.18774,0.9424,1.05026,0.000274,0.000274,0.000274
24,799.743,1.1417,0.90458,1.00629,0.59598,0.62269,0.58052,0.37053,1.14555,0.86044,1.04549,0.000241,0.000241,0.000241
25,834.407,1.13336,0.91259,1.01768,0.64765,0.59692,0.60718,0.3841,1.12323,0.84237,1.03673,0.000208,0.000208,0.000208
26,867.697,1.10319,0.88653,1.00154,0.69327,0.63116,0.68651,0.41485,1.10729,0.8382,1.03702,0.000175,0.000175,0.000175
27,901.911,1.11454,0.87059,0.98782,0.69924,0.67126,0.63867,0.39035,1.10572,0.86042,1.03548,0.000142,0.000142,0.000142
28,936.461,1.12275,0.87672,1.00446,0.74482,0.66078,0.6782,0.41231,1.07802,0.84408,1.01953,0.000109,0.000109,0.000109
29,970.03,1.07744,0.85031,0.99156,0.70808,0.65899,0.67143,0.39948,1.08255,0.83737,1.01884,7.6e-05,7.6e-05,7.6e-05
30,1003.21,1.10812,0.87611,0.99904,0.70121,0.67806,0.66453,0.39015,1.07622,0.82229,1.01662,4.3e-05,4.3e-05,4.3e-05
